id;start_date;end_date;language
1;2020-06-23T07:15:34;2020-06-23T05:05:49;SPANISH
2;2020-06-22T12:05:45;2020-06-23T07:10:10;SPANISH
3;2020-06-23T03:01:04;2020-06-22T13:35:13;FRENCH
4;2020-06-22T18:18:35;2020-06-23T05:50:01;FRENCH
5;2020-06-23T03:48:53;2020-06-23T08:35:52;FRENCH
6;2020-06-22T21:41:14;2020-06-23T09:49:28;FRENCH
7;2020-06-22T23:26:34;2020-06-22T17:17:25;FRENCH
8;2020-06-22T22:22:47;2020-06-23T08:38:55;SPANISH
9;2020-06-22T21:03:56;2020-06-22T17:45:19;SPANISH
10;2020-06-23T05:16:00;2020-06-22T15:50:30;SPANISH
